id,date,target
AS14.23,2014-05-02,9.0
AS14.23,2014-05-03,9.0
AS14.23,2014-05-04,9.0
AS14.24,2014-04-14,8.0
AS14.24,2014-04-15,7.6
AS14.24,2014-04-16,7.4
AS14.24,2014-04-17,6.75
AS14.24,2014-04-18,7.0
AS14.24,2014-04-19,7.25
AS14.24,2014-04-20,7.8
AS14.24,2014-04-21,7.5
AS14.24,2014-04-22,7.2
AS14.24,2014-04-23,7.5
AS14.24,2014-04-24,6.8
AS14.24,2014-04-25,6.2
AS14.24,2014-04-26,7.6
AS14.24,2014-04-27,7.0
AS14.24,2014-04-28,6.8
AS14.24,2014-04-29,6.0
AS14.24,2014-04-30,6.333333333333333
AS14.24,2014-05-01,7.4
AS14.24,2014-05-02,7.0
AS14.24,2014-05-03,6.833333333333333
AS14.24,2014-05-04,7.5
AS14.24,2014-05-05,6.0
AS14.24,2014-05-06,6.5
AS14.24,2014-05-07,7.0
AS14.24,2014-05-08,7.0
AS14.24,2014-05-09,7.4
AS14.24,2014-05-10,7.0
AS14.24,2014-05-11,7.25
AS14.24,2014-05-12,7.0
AS14.24,2014-05-13,7.5
AS14.24,2014-05-14,5.2
AS14.24,2014-05-15,6.4
AS14.24,2014-05-16,7.0
AS14.24,2014-05-17,7.6
AS14.24,2014-05-18,7.2
AS14.24,2014-05-19,7.4
AS14.24,2014-05-20,7.0
AS14.24,2014-05-21,6.2
AS14.24,2014-05-22,6.6
AS14.24,2014-05-23,6.8
AS14.24,2014-05-24,7.2
AS14.24,2014-05-25,7.0
AS14.24,2014-05-26,7.0
AS14.24,2014-05-27,6.2
AS14.24,2014-05-28,6.6
AS14.24,2014-05-29,7.0
AS14.24,2014-05-30,7.4
AS14.24,2014-05-31,7.0
AS14.24,2014-06-01,6.833333333333333
AS14.24,2014-06-02,6.75
AS14.24,2014-06-03,7.8
AS14.24,2014-06-04,7.0
AS14.24,2014-06-05,7.0
AS14.24,2014-06-06,7.5
AS14.24,2014-06-07,8.0
AS14.24,2014-06-08,6.5
AS14.24,2014-06-09,6.5
AS14.25,2014-04-13,6.6
AS14.25,2014-04-14,6.4
AS14.25,2014-04-15,6.5
AS14.25,2014-04-16,7.2
AS14.25,2014-04-17,6.5
AS14.25,2014-04-18,6.25
AS14.25,2014-04-19,7.5
AS14.25,2014-04-20,6.8
AS14.25,2014-04-21,7.4
AS14.25,2014-04-22,8.25
AS14.25,2014-04-23,6.5
AS14.25,2014-04-24,6.0
AS14.25,2014-04-25,6.25
AS14.25,2014-04-26,7.0
AS14.25,2014-04-27,7.4
AS14.25,2014-04-28,7.2
AS14.25,2014-04-29,6.0
AS14.25,2014-04-30,6.2
AS14.25,2014-05-01,7.0
AS14.25,2014-05-02,6.5
AS14.25,2014-05-03,6.4
AS14.25,2014-05-04,7.2
AS14.25,2014-05-05,6.666666666666667
AS14.25,2014-05-06,6.733333333333333
AS14.25,2014-05-07,6.8
AS14.25,2014-05-08,7.0
AS14.26,2014-04-18,7.2
AS14.26,2014-04-19,8.0
AS14.26,2014-04-20,8.0
AS14.26,2014-04-21,6.4
AS14.26,2014-04-22,7.25
AS14.26,2014-04-23,6.2
AS14.26,2014-04-24,5.8
AS14.26,2014-04-25,6.6
AS14.26,2014-04-26,8.0
AS14.26,2014-04-27,7.8
AS14.26,2014-04-28,8.0
AS14.26,2014-04-29,6.6
AS14.26,2014-04-30,6.2
AS14.26,2014-05-01,6.8
AS14.26,2014-05-02,7.2
AS14.26,2014-05-03,7.8
AS14.26,2014-05-04,7.4
AS14.26,2014-05-05,6.5
AS14.26,2014-05-06,6.65
AS14.26,2014-05-07,6.8
AS14.26,2014-05-08,6.6
AS14.26,2014-05-09,6.8
AS14.26,2014-05-10,8.0
AS14.26,2014-05-11,6.2
AS14.26,2014-05-12,6.4
AS14.26,2014-05-13,7.0
AS14.26,2014-05-14,6.0
AS14.26,2014-05-15,6.4
AS14.26,2014-05-16,7.4
AS14.26,2014-05-17,7.4
AS14.26,2014-05-18,7.2
AS14.26,2014-05-19,7.4
AS14.26,2014-05-20,7.6
AS14.26,2014-05-21,7.0
AS14.26,2014-05-22,6.6
AS14.26,2014-05-23,6.2
AS14.26,2014-05-24,7.6
AS14.26,2014-05-25,8.0
AS14.26,2014-05-26,7.2
AS14.26,2014-05-27,5.8
AS14.26,2014-05-28,5.4
AS14.26,2014-05-29,7.4
AS14.26,2014-05-30,6.4
AS14.27,2014-04-08,7.6
